timestamp,duck_id,lat,lon,temperature,snowfall,rain,wind
2/1/2025 0:00,duck_1,39.1,-90.05,45,0,0.1,6
2/1/2025 0:00,duck_2,38.95,-89.98,61,1.1,0,4
2/1/2025 0:00,duck_3,39.05,-90.12,55,0.5,0.3,10
2/1/2025 0:00,duck_4,39.2,-90.08,70,0,0,15
2/1/2025 0:00,duck_5,38.92,-89.9,28,1.3,0.4,2
2/1/2025 6:00,duck_1,39.15,-90.02,32,0.9,0.1,7
2/1/2025 6:00,duck_2,38.85,-89.95,51,1.6,0.4,1
2/1/2025 6:00,duck_3,39,-90.15,66,0,0,12
2/1/2025 6:00,duck_4,39.18,-90.06,59,1.1,0.6,5
2/1/2025 6:00,duck_5,38.99,-90.1,72,0.3,0.1,9
2/1/2025 12:00,duck_1,39.07,-90.03,58,0,0.4,0
2/1/2025 12:00,duck_2,39.12,-89.92,63,0.2,0.1,13
2/1/2025 12:00,duck_3,38.95,-90.19,71,1.3,0,4
2/1/2025 12:00,duck_4,39.25,-90.11,46,0.8,0.5,10
2/1/2025 12:00,duck_5,38.88,-89.89,35,0,0.3,8
2/1/2025 18:00,duck_1,39.05,-90.01,64,1.1,0.2,3
2/1/2025 18:00,duck_2,38.93,-90.16,55,0.5,0,15
2/1/2025 18:00,duck_3,39.15,-90.09,74,0,0.4,12
2/1/2025 18:00,duck_4,39.22,-90.13,68,0.2,0.2,1
2/1/2025 18:00,duck_5,38.9,-89.94,42,1.2,0.7,6
2/2/2025 0:00,duck_1,38.75,-89.85,66,0.2,0.6,2
2/2/2025 0:00,duck_2,38.82,-89.91,49,1,0.2,10
2/2/2025 0:00,duck_3,38.7,-89.77,35,0.6,0,14
2/2/2025 0:00,duck_4,38.88,-89.8,71,0.1,0.7,4
2/2/2025 0:00,duck_5,38.65,-89.93,58,1.5,0.5,9
2/2/2025 6:00,duck_1,38.69,-89.82,42,0.4,0.1,8
2/2/2025 6:00,duck_2,38.9,-89.76,60,1.7,0.4,1
2/2/2025 6:00,duck_3,38.85,-89.88,26,0.9,0.3,5
2/2/2025 6:00,duck_4,38.72,-89.98,39,0,0.1,15
2/2/2025 6:00,duck_5,38.8,-89.79,54,1.1,0,0
2/2/2025 12:00,duck_1,38.77,-89.8,64,0.3,0.4,12
2/2/2025 12:00,duck_2,38.68,-89.95,28,1.2,0.2,6
2/2/2025 12:00,duck_3,38.92,-89.72,55,0,0.7,3
2/2/2025 12:00,duck_4,38.82,-89.86,47,1.8,0,10
2/2/2025 12:00,duck_5,38.74,-89.78,36,1.1,0.1,14
2/2/2025 18:00,duck_1,38.65,-89.9,71,0.5,0.5,4
2/2/2025 18:00,duck_2,38.79,-89.83,59,0.3,0.4,13
2/2/2025 18:00,duck_3,38.92,-89.77,42,1,0.2,9
2/2/2025 18:00,duck_4,38.72,-89.92,50,0.1,0.1,7
2/2/2025 18:00,duck_5,38.88,-89.8,66,0.7,0.6,1
2/3/2025 0:00,duck_1,38.42,-89.84,54,0.3,0,2
2/3/2025 0:00,duck_2,38.39,-89.9,60,1.2,0.1,9
2/3/2025 0:00,duck_3,38.45,-89.82,41,1,0.3,6
2/3/2025 0:00,duck_4,38.31,-89.8,72,0,0.5,14
2/3/2025 0:00,duck_5,38.4,-89.91,36,0.5,0.1,0
